name,year,seller_type,transmission,owner,count_of_cars,avg_selling_price,min_selling_price,max_selling_price
Chevrolet Beat Diesel LT,2013,Individual,Manual,Second Owner,1,210000.0,210000,210000
Chevrolet Beat Diesel LT,2013,Individual,Manual,Third Owner,1,215000.0,215000,215000
Chevrolet Beat Diesel LT,2016,Individual,Manual,Second Owner,1,350000.0,350000,350000
Chevrolet Beat Diesel LT Option,2009,Dealer,Manual,Second Owner,1,195000.0,195000,195000
Chevrolet Beat Diesel PS,2012,Dealer,Manual,First Owner,2,144500.0,130000,159000
Chevrolet Beat LS,2010,Individual,Manual,Second Owner,1,99000.0,99000,99000
Chevrolet Beat LS,2011,Individual,Manual,First Owner,1,160000.0,160000,160000
Chevrolet Beat LS,2011,Individual,Manual,Second Owner,1,225000.0,225000,225000
Chevrolet Beat LS,2011,Individual,Manual,Third Owner,1,150000.0,150000,150000
Chevrolet Beat LS,2012,Individual,Manual,First Owner,1,180000.0,180000,180000
Chevrolet Beat LS,2016,Individual,Manual,First Owner,1,170000.0,170000,170000
Chevrolet Beat LS,2016,Individual,Manual,Third Owner,1,250000.0,250000,250000
Chevrolet Beat LT,2010,Individual,Manual,Second Owner,4,127499.75,114999,135000
Chevrolet Beat LT,2011,Individual,Manual,Second Owner,1,120000.0,120000,120000
Chevrolet Beat LT,2012,Individual,Manual,First Owner,1,155000.0,155000,155000
Chevrolet Beat LT,2012,Individual,Manual,Second Owner,1,200999.0,200999,200999
Chevrolet Beat LT,2013,Individual,Manual,First Owner,2,182500.0,165000,200000
Chevrolet Beat LT,2015,Dealer,Manual,First Owner,1,245000.0,245000,245000
Chevrolet Beat LT,2016,Dealer,Manual,First Owner,1,245000.0,245000,245000
Chevrolet Beat LT,2016,Individual,Manual,First Owner,1,320000.0,320000,320000
Chevrolet Beat LT LPG,2011,Individual,Manual,First Owner,1,200000.0,200000,200000
Chevrolet Beat LT Option,2015,Individual,Manual,First Owner,1,240000.0,240000,240000
Chevrolet Beat LT Option,2016,Dealer,Manual,First Owner,11,239000.0,239000,239000
Chevrolet Beat PS,2014,Individual,Manual,First Owner,2,170000.0,170000,170000
Chevrolet Beat PS,2015,Individual,Manual,First Owner,1,200000.0,200000,200000
Chevrolet Beat PS,2016,Individual,Manual,First Owner,1,300000.0,300000,300000
Chevrolet Captiva 2.0L VCDi,2011,Individual,Manual,Third Owner,1,400000.0,400000,400000
Chevrolet Captiva LT,2008,Individual,Manual,Fourth & Above Owner,1,250000.0,250000,250000
Chevrolet Captiva LT,2009,Individual,Manual,First Owner,1,500000.0,500000,500000
Chevrolet Cruze LT,2011,Individual,Manual,Second Owner,1,350000.0,350000,350000
Chevrolet Cruze LT,2012,Dealer,Manual,Second Owner,1,349000.0,349000,349000
Chevrolet Cruze LT,2012,Individual,Manual,Fourth & Above Owner,1,380000.0,380000,380000
Chevrolet Cruze LTZ,2010,Individual,Manual,First Owner,1,240000.0,240000,240000
Chevrolet Cruze LTZ,2010,Individual,Manual,Second Owner,1,330000.0,330000,330000
Chevrolet Cruze LTZ,2010,Individual,Manual,Third Owner,1,320000.0,320000,320000
Chevrolet Cruze LTZ,2011,Individual,Manual,First Owner,1,345000.0,345000,345000
Chevrolet Cruze LTZ,2011,Individual,Manual,Second Owner,1,335000.0,335000,335000
Chevrolet Cruze LTZ,2012,Individual,Manual,First Owner,1,400000.0,400000,400000
Chevrolet Cruze LTZ,2014,Dealer,Manual,First Owner,1,550000.0,550000,550000
Chevrolet Cruze LTZ,2015,Dealer,Manual,First Owner,2,1000000.0,1000000,1000000
Chevrolet Cruze LTZ AT,2012,Dealer,Automatic,First Owner,1,490000.0,490000,490000
Chevrolet Cruze LTZ AT,2012,Individual,Automatic,Third Owner,1,359000.0,359000,359000
Chevrolet Cruze LTZ AT,2015,Individual,Automatic,First Owner,2,650000.0,650000,650000
Chevrolet Cruze LTZ AT,2017,Dealer,Automatic,First Owner,1,950000.0,950000,950000
Chevrolet Enjoy 1.3 TCDi LS 8,2013,Dealer,Manual,First Owner,2,425000.0,425000,425000
Chevrolet Enjoy 1.3 TCDi LS 8,2015,Individual,Manual,First Owner,1,300000.0,300000,300000
Chevrolet Enjoy TCDi LS 8 Seater,2014,Individual,Manual,Third Owner,1,330000.0,330000,330000
Chevrolet Enjoy TCDi LT 7 Seater,2014,Dealer,Manual,First Owner,2,325000.0,325000,325000
Chevrolet Enjoy TCDi LT 7 Seater,2014,Individual,Manual,First Owner,1,300000.0,300000,300000
Chevrolet Enjoy TCDi LT 8 Seater,2014,Individual,Manual,First Owner,1,350000.0,350000,350000
Chevrolet Enjoy TCDi LT 8 Seater,2015,Individual,Manual,First Owner,1,500000.0,500000,500000
Chevrolet Enjoy TCDi LTZ 7 Seater,2013,Individual,Manual,Second Owner,1,390000.0,390000,390000
Chevrolet Optra 1.6,2006,Dealer,Manual,Fourth & Above Owner,1,120000.0,120000,120000
Chevrolet Optra 1.6 LS,2005,Individual,Manual,Second Owner,1,60000.0,60000,60000
Chevrolet Optra Magnum 2.0 LS,2009,Individual,Manual,First Owner,1,150000.0,150000,150000
Chevrolet Optra Magnum 2.0 LS,2011,Individual,Manual,First Owner,2,195000.0,195000,195000
Chevrolet Optra Magnum 2.0 LS BSIII,2012,Individual,Manual,First Owner,1,180000.0,180000,180000
Chevrolet Optra Magnum 2.0 LT,2011,Individual,Manual,Second Owner,1,170000.0,170000,170000
Chevrolet Optra Magnum 2.0 LT,2012,Individual,Manual,First Owner,2,300000.0,300000,300000
Chevrolet Sail 1.2 Base,2014,Individual,Manual,First Owner,1,290000.0,290000,290000
Chevrolet Sail 1.2 Base,2014,Individual,Manual,Second Owner,1,170000.0,170000,170000
Chevrolet Sail 1.2 Base,2015,Individual,Manual,First Owner,3,260000.0,260000,260000
Chevrolet Sail 1.2 LT ABS,2014,Individual,Manual,First Owner,2,350000.0,350000,350000
Chevrolet Sail 1.3 LS,2013,Dealer,Manual,First Owner,1,290000.0,290000,290000
Chevrolet Sail Hatchback 1.2 LS,2015,Individual,Manual,First Owner,1,280000.0,280000,280000
Chevrolet Sail Hatchback 1.2 LS,2016,Individual,Manual,First Owner,2,250000.0,250000,250000
Chevrolet Sail Hatchback 1.3 TCDi,2015,Individual,Manual,First Owner,1,281000.0,281000,281000
Chevrolet Sail Hatchback 1.3 TCDi LT ABS,2014,Individual,Manual,First Owner,1,250000.0,250000,250000
Chevrolet Sail Hatchback LS ABS,2013,Individual,Manual,Second Owner,1,200000.0,200000,200000
Chevrolet Sail Hatchback LT ABS,2013,Individual,Manual,First Owner,3,225000.0,225000,225000
Chevrolet Sail LS ABS,2014,Individual,Manual,First Owner,1,375000.0,375000,375000
Chevrolet Spark 1.0,2008,Individual,Manual,Third Owner,1,120000.0,120000,120000
Chevrolet Spark 1.0,2009,Individual,Manual,First Owner,1,125000.0,125000,125000
Chevrolet Spark 1.0,2010,Individual,Manual,First Owner,1,80000.0,80000,80000
Chevrolet Spark 1.0,2010,Individual,Manual,Second Owner,1,78692.0,78692,78692
Chevrolet Spark 1.0 LS,2008,Individual,Manual,First Owner,1,50000.0,50000,50000
Chevrolet Spark 1.0 LS,2008,Individual,Manual,Second Owner,1,75000.0,75000,75000
Chevrolet Spark 1.0 LS,2009,Individual,Manual,First Owner,1,135000.0,135000,135000
Chevrolet Spark 1.0 LS,2009,Individual,Manual,Second Owner,2,170000.0,170000,170000
Chevrolet Spark 1.0 LS,2009,Individual,Manual,Third Owner,1,70000.0,70000,70000
Chevrolet Spark 1.0 LS,2010,Individual,Manual,Second Owner,2,175000.0,175000,175000
Chevrolet Spark 1.0 LS,2011,Individual,Manual,Second Owner,1,140000.0,140000,140000
Chevrolet Spark 1.0 LS,2011,Individual,Manual,Third Owner,2,112000.0,99000,125000
Chevrolet Spark 1.0 LS,2012,Individual,Manual,First Owner,2,130000.0,130000,130000
Chevrolet Spark 1.0 LS,2012,Individual,Manual,Second Owner,1,134000.0,134000,134000
Chevrolet Spark 1.0 LS,2014,Individual,Manual,First Owner,1,220000.0,220000,220000
Chevrolet Spark 1.0 LT,2009,Individual,Manual,First Owner,1,70000.0,70000,70000
Chevrolet Spark 1.0 LT,2010,Individual,Manual,First Owner,1,180000.0,180000,180000
Chevrolet Spark 1.0 LT,2011,Dealer,Manual,First Owner,1,130000.0,130000,130000
Chevrolet Spark 1.0 LT,2011,Individual,Manual,First Owner,1,165000.0,165000,165000
Chevrolet Spark 1.0 LT,2012,Individual,Manual,First Owner,2,125000.0,125000,125000
Chevrolet Spark 1.0 LT,2013,Individual,Manual,First Owner,1,240000.0,240000,240000
Chevrolet Spark 1.0 LT BS3,2013,Individual,Manual,Second Owner,1,150000.0,150000,150000
Chevrolet Spark 1.0 LT Option Pack w/ Airbag,2013,Dealer,Manual,First Owner,1,165000.0,165000,165000
Chevrolet Spark 1.0 PS,2010,Individual,Manual,First Owner,1,110000.0,110000,110000
Chevrolet Tavera LS B3 7 Seats BSII,2005,Individual,Manual,First Owner,1,150000.0,150000,150000
Chevrolet Tavera LT L1 7 Seats BSIII,2006,Individual,Manual,Third Owner,1,140000.0,140000,140000
Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,2012,Individual,Manual,Third Owner,2,400000.0,400000,400000
Chevrolet Tavera Neo 2 LT L 9 Str,2012,Individual,Manual,First Owner,1,400000.0,400000,400000
Chevrolet Tavera Neo 3 10 Seats BSIV,2007,Individual,Manual,Third Owner,1,160000.0,160000,160000
Chevrolet Tavera Neo 3 10 Seats BSIV,2010,Individual,Manual,Third Owner,1,300000.0,300000,300000
Chevrolet Tavera Neo 3 9 Str BSIII,2016,Individual,Manual,First Owner,1,500000.0,500000,500000
Chevrolet Tavera Neo 3 LS 7 C BSIII,2015,Individual,Manual,First Owner,1,400000.0,400000,400000
Chevrolet Tavera Neo 3 LT 9 Seats BSIII,2016,Individual,Manual,Second Owner,1,470000.0,470000,470000
Chevrolet Tavera Neo 3 Max 9 Str BSIII,2014,Individual,Manual,Second Owner,1,400000.0,400000,400000
Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010,Individual,Manual,Second Owner,1,280000.0,280000,280000
Daewoo Matiz SD,2002,Individual,Manual,First Owner,1,60000.0,60000,60000
Datsun GO A,2015,Individual,Manual,Second Owner,1,250000.0,250000,250000
Datsun GO Plus A,2015,Individual,Manual,Second Owner,2,315000.0,315000,315000
Datsun GO Plus A Option Petrol,2018,Individual,Manual,Second Owner,1,450000.0,450000,450000
Datsun GO Plus Remix Limited Edition,2016,Individual,Manual,First Owner,1,300000.0,300000,300000
Datsun GO Plus T,2017,Dealer,Manual,First Owner,2,350000.0,350000,350000
Datsun GO Plus T BSIV,2015,Individual,Manual,First Owner,1,380000.0,380000,380000
Datsun GO Plus T BSIV,2018,Individual,Manual,Second Owner,1,400000.0,400000,400000
Datsun GO Plus T Option,2017,Individual,Manual,First Owner,1,350000.0,350000,350000
Datsun GO Plus T Option BSIV,2015,Individual,Manual,First Owner,1,295000.0,295000,295000
Datsun GO Plus T Option BSIV,2017,Individual,Manual,Second Owner,1,375000.0,375000,375000
Datsun GO Plus T Option BSIV,2018,Individual,Manual,Second Owner,1,270000.0,270000,270000
Datsun GO Plus T Option Petrol,2018,Individual,Manual,First Owner,2,434999.0,434999,434999
Datsun GO T BSIV,2014,Individual,Manual,First Owner,2,265000.0,250000,280000
Datsun GO T Option BSIV,2015,Individual,Manual,First Owner,1,210000.0,210000,210000
Datsun GO T Petrol,2015,Dealer,Manual,First Owner,2,310000.0,310000,310000
Datsun GO T Petrol,2015,Dealer,Manual,Second Owner,1,225000.0,225000,225000
Datsun RediGO 1.0 S,2017,Dealer,Manual,Second Owner,2,210000.0,210000,210000
Datsun RediGO 1.0 S,2017,Individual,Manual,First Owner,1,250000.0,250000,250000
Datsun RediGO 1.0 T Option,2018,Dealer,Manual,First Owner,1,375000.0,375000,375000
Datsun RediGO AMT 1.0 S,2018,Individual,Automatic,First Owner,1,300000.0,300000,300000
Datsun RediGO S,2016,Individual,Manual,First Owner,2,270000.0,270000,270000
Datsun RediGO SV 1.0,2019,Individual,Manual,First Owner,1,350000.0,350000,350000
Datsun RediGO T Option,2016,Individual,Manual,Second Owner,1,229999.0,229999,229999
Datsun RediGO T Option,2017,Individual,Manual,First Owner,6,230000.0,200000,250000
Datsun redi-GO AMT 1.0 T Option,2018,Dealer,Automatic,First Owner,1,290000.0,290000,290000
Fiat 500 Lounge,2008,Individual,Manual,First Owner,1,250999.0,250999,250999
Fiat Avventura MULTIJET Emotion,2015,Individual,Manual,Second Owner,2,350000.0,350000,350000
Fiat Avventura Urban Cross 1.3 Multijet Emotion,2018,Dealer,Manual,First Owner,1,650000.0,650000,650000
Fiat Grande Punto 1.3 Dynamic (Diesel),2010,Individual,Manual,Third Owner,1,150000.0,150000,150000
Fiat Grande Punto 1.3 Dynamic (Diesel),2012,Individual,Manual,Second Owner,1,185000.0,185000,185000
Fiat Grande Punto Active (Diesel),2009,Individual,Manual,Second Owner,2,125000.0,125000,125000
Fiat Grande Punto EVO 1.3 Active,2014,Individual,Manual,First Owner,2,260000.0,260000,260000
Fiat Grande Punto EVO 1.3 Active,2014,Individual,Manual,Second Owner,1,270000.0,270000,270000
Fiat Grande Punto EVO 1.3 Dynamic,2014,Individual,Manual,First Owner,1,325000.0,325000,325000
Fiat Grande Punto EVO 90HP 1.3 Sport,2014,Individual,Manual,First Owner,1,250000.0,250000,250000
Fiat Grande Punto Emotion 90Hp,2013,Individual,Manual,First Owner,1,250000.0,250000,250000
Fiat Linea 1.3 Emotion,2010,Dealer,Manual,First Owner,1,221000.0,221000,221000
Fiat Linea 1.3 Emotion,2014,Individual,Manual,First Owner,1,221000.0,221000,221000
Fiat Linea 1.3 Multijet Emotion,2015,Individual,Manual,First Owner,1,550000.0,550000,550000
Fiat Linea Active (Diesel),2011,Individual,Manual,Third Owner,1,190000.0,190000,190000
Fiat Linea Classic 1.3 Multijet,2015,Individual,Manual,First Owner,1,350000.0,350000,350000
Fiat Linea Dynamic,2013,Individual,Manual,First Owner,2,350000.0,350000,350000
Fiat Linea Emotion,2010,Individual,Manual,First Owner,1,170000.0,170000,170000
Fiat Linea Emotion (Diesel),2011,Individual,Manual,First Owner,1,225000.0,225000,225000
Fiat Linea T Jet Emotion,2010,Individual,Manual,Second Owner,2,215000.0,215000,215000
Fiat Linea T Jet Emotion,2018,Dealer,Manual,First Owner,1,890000.0,890000,890000
Fiat Linea T Jet Plus,2011,Individual,Manual,First Owner,1,500000.0,500000,500000
Fiat Palio 1.2 Sport,2007,Individual,Manual,Second Owner,1,125000.0,125000,125000
Fiat Palio D 1.9 EL PS,2003,Individual,Manual,Second Owner,1,55000.0,55000,55000
Fiat Punto 1.2 Active,2010,Individual,Manual,Second Owner,1,80000.0,80000,80000
Fiat Punto 1.3 Active,2010,Individual,Manual,Second Owner,1,99000.0,99000,99000
Fiat Punto 1.3 Emotion,2010,Individual,Manual,Second Owner,1,130000.0,130000,130000
Fiat Punto 1.3 Emotion,2010,Individual,Manual,Third Owner,1,285000.0,285000,285000
Fiat Punto 1.3 Emotion,2013,Dealer,Manual,Second Owner,1,350000.0,350000,350000
Fiat Punto 1.4 Emotion,2010,Individual,Manual,Fourth & Above Owner,1,165000.0,165000,165000
Fiat Punto EVO 1.3 Dynamic,2016,Individual,Manual,First Owner,1,500000.0,500000,500000
Fiat Punto EVO 1.3 Emotion,2017,Individual,Manual,First Owner,1,450000.0,450000,450000
Force One EX,2014,Individual,Manual,First Owner,1,346000.0,346000,346000
Ford Aspire Titanium BSIV,2017,Dealer,Manual,First Owner,1,430000.0,430000,430000
Ford Aspire Titanium BSIV,2020,Dealer,Manual,Test Drive Car,1,828999.0,828999,828999
Ford Aspire Titanium Diesel BSIV,2016,Dealer,Manual,First Owner,1,600000.0,600000,600000
Ford Aspire Titanium Diesel BSIV,2017,Dealer,Manual,First Owner,1,700000.0,700000,700000
Ford Aspire Titanium Plus BSIV,2015,Dealer,Manual,Second Owner,1,550000.0,550000,550000
Ford Aspire Titanium Plus BSIV,2018,Dealer,Manual,First Owner,1,782000.0,782000,782000
Ford Aspire Titanium Plus Diesel BSIV,2018,Dealer,Manual,First Owner,1,861999.0,861999,861999
Ford Aspire Titanium Plus Diesel BSIV,2019,Individual,Manual,First Owner,1,675000.0,675000,675000
Ford Classic 1.4 Duratorq LXI,2013,Individual,Manual,First Owner,1,250000.0,250000,250000
Ford Classic 1.6 Duratec LXI,2011,Dealer,Manual,First Owner,1,265000.0,265000,265000
Ford EcoSport 1.5 Diesel Ambiente BSIV,2018,Individual,Manual,Second Owner,1,790000.0,790000,790000
Ford EcoSport 1.5 Diesel Titanium BSIV,2017,Individual,Manual,First Owner,1,925000.0,925000,925000
Ford EcoSport 1.5 Diesel Titanium BSIV,2018,Individual,Manual,First Owner,1,615000.0,615000,615000
Ford EcoSport 1.5 Diesel Titanium BSIV,2019,Individual,Manual,First Owner,1,950000.0,950000,950000
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2014,Dealer,Manual,First Owner,1,550000.0,550000,550000
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2015,Dealer,Manual,Second Owner,1,550000.0,550000,550000
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,Dealer,Manual,First Owner,2,840000.0,840000,840000
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,Individual,Manual,First Owner,2,877500.0,825000,930000
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2018,Individual,Manual,First Owner,3,930000.0,930000,930000
Ford EcoSport 1.5 Diesel Trend BSIV,2017,Individual,Manual,First Owner,1,700000.0,700000,700000
Ford EcoSport 1.5 Diesel Trend BSIV,2018,Individual,Manual,First Owner,1,841000.0,841000,841000
Ford EcoSport 1.5 Diesel Trend Plus BSIV,2017,Individual,Manual,First Owner,1,710000.0,710000,710000
Ford EcoSport 1.5 Petrol Titanium BSIV,2017,Individual,Manual,First Owner,2,800000.0,800000,800000
Ford EcoSport 1.5 Petrol Titanium Plus AT BSIV,2015,Trustmark Dealer,Automatic,First Owner,1,750000.0,750000,750000
Ford EcoSport 1.5 TDCi Titanium BSIV,2013,Dealer,Manual,First Owner,1,600000.0,600000,600000
Ford EcoSport 1.5 TDCi Titanium BSIV,2013,Dealer,Manual,Second Owner,1,600000.0,600000,600000
Ford EcoSport 1.5 TDCi Titanium BSIV,2015,Dealer,Manual,First Owner,1,585000.0,585000,585000
Ford EcoSport 1.5 TDCi Titanium BSIV,2015,Individual,Manual,Second Owner,1,650000.0,650000,650000
Ford EcoSport 1.5 TDCi Titanium BSIV,2015,Individual,Manual,Third Owner,1,530000.0,530000,530000
Ford EcoSport 1.5 TDCi Titanium BSIV,2016,Dealer,Manual,First Owner,2,650000.0,650000,650000
Ford EcoSport 1.5 TDCi Titanium BSIV,2018,Dealer,Manual,First Owner,3,950000.0,950000,950000
Ford EcoSport 1.5 TDCi Titanium Plus BE BSIV,2018,Dealer,Manual,First Owner,1,925000.0,925000,925000
